"fip_index","fip_title","community","c","question","q","sort","nochoice","resource","res","reslabel","rel","resourcetype","startdate","enddate","date"
"http://purl.org/np/RAyIhIYO7-d2FkdR657AJnE_J9lW1Xsz8Vm90qlqoz3RQ","eLTER_FIP_2020","http://purl.org/np/RA5dl60ZrBMnrt7hVKmSHYZ6JaU80Y8BPi2T_csOt3GK4#eLTER-RI","eLTER-RI","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T08:52:47Z
"http://purl.org/np/RArQC2A_lrYXC_qw9oyO8FzWUOfBsTYcIeom5MK5GzeaU","eLTER_FIP_2021","http://purl.org/np/RA5dl60ZrBMnrt7hVKmSHYZ6JaU80Y8BPi2T_csOt3GK4#eLTER-RI","eLTER-RI","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:53:18Z
"http://purl.org/np/RA-JbpGzjXXLxAnVfIQkNNj5FHE1v6bR24ZIqkQkJxKMs","IAGOS_FIP_2020","http://purl.org/np/RAVCCWaHwMAe8CuM8TPZmbV-Bcjh2Ddn85MP-gDCBDRQg#iagos","iagos","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-planned-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T08:56:57Z
"http://purl.org/np/RAHhEIYItCyinacaBdlTUC6o1FYRIFnm0EFA_t0RW65Pk","IAGOS_FIP_2019","http://purl.org/np/RAVCCWaHwMAe8CuM8TPZmbV-Bcjh2Ddn85MP-gDCBDRQg#iagos","iagos","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-planned-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T18:28:22Z
"http://purl.org/np/RAGDmSydAT-Tf8oAFe-zk_wBaEQy1BoeRx4VjLQA5IOSg","IAGOS_FIP_2021","http://purl.org/np/RAVCCWaHwMAe8CuM8TPZmbV-Bcjh2Ddn85MP-gDCBDRQg#iagos","iagos","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T18:39:37Z
"http://purl.org/np/RAugR0Ldb6UuuUGii6nwB4UGCkxzHyJWp6RvQ7lwWovwo","LifeWatch_Marine_FIP_2021","http://purl.org/np/RAvRsoe_qjAtywswoh3PyrL7Q5_7ayjsyhsUdecmm1JMs#lw-marine","lw-marine","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:00:12Z
"http://purl.org/np/RAywZ9RrnXQ19uwIOxycXfUkKJXCROIK6RPkUFAS6XezU","LifeWatch_Marine_FIP_2019","http://purl.org/np/RAvRsoe_qjAtywswoh3PyrL7Q5_7ayjsyhsUdecmm1JMs#lw-marine","lw-marine","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T08:03:15Z
"http://purl.org/np/RAITD6EXrGxvRftBVKTien2iE4yyUflsbVBUrQObfCT98","LifeWatch_Marine_FIP_2020","http://purl.org/np/RAvRsoe_qjAtywswoh3PyrL7Q5_7ayjsyhsUdecmm1JMs#lw-marine","lw-marine","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T08:06:12Z
"http://purl.org/np/RAJenAutT4_a8oXdjQI70gLzM7T9bVxtwWoFCQWKaxs64","SIOS_FIP_2021","http://purl.org/np/RAQufjbWqPyxaNoGCLug_9nTbCXSTo2ADgEmN3BVPBNe0#sios","sios","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T09:59:26Z
"http://purl.org/np/RACfMZRfrv-dVonrHHmaQQIKERapfNN2WsDw4pIm03o48","SIOS_FIP_2019","http://purl.org/np/RAQufjbWqPyxaNoGCLug_9nTbCXSTo2ADgEmN3BVPBNe0#sios","sios","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T10:00:37Z
